filename,source_device,capture_date,year_guess,gps_lat,gps_lon,camera_model,archival_box,is_separator,document_date,description,file_path,notes
IMG_2310.HEIC,iphone,2024-09-26 08:08:45 +0000,2024,,,iPhone 15,,,,"A supplementary agreement (IV) on general provisions regarding technological development and computerized systems between the Confederation of Norwegian Enterprises (NHO) and the Norwegian Confederation of Trade Unions (LO), addressing planning, implementation, and use of technology in enterprises with provisions for employee information and dispute resolution.",public/images/primary/raw/iphone/IMG_2310.HEIC,
IMG_2311.HEIC,iphone,2024-09-26 08:08:48 +0000,2024,,,iPhone 15,,,,"Handwritten list of persons and contacts (Personur a kontakter) including names like Olav Terje Reigo, Stale Jøkinen, Alf Hildrum, Ole Bengtrad, Thorbjørn Iversen, Svein Ullevåg, Terje Kristoffersen, and Knut Lage with various annotations and dates in parentheses.",public/images/primary/raw/iphone/IMG_2311.HEIC,
IMG_2312 2.HEIC,iphone,2024-09-26 08:08:51 +0000,2024,,,iPhone 15,,,,"Page 61 of a document discussing research projects, computer systems use, and employee participation in workplace decisions, with sections on information sharing, management consultation, and training needs.",public/images/primary/raw/iphone/IMG_2312 2.HEIC,
IMG_2313 2.HEIC,iphone,2024-09-26 08:08:53 +0000,2024,,,iPhone 15,,,,"Page 62 of an agreement document discussing shop stewards, their appointment, training requirements, and access to documentation regarding technology implementation in enterprises covered by the agreement.",public/images/primary/raw/iphone/IMG_2313 2.HEIC,
IMG_2314 2.HEIC,iphone,2024-09-26 08:08:57 +0000,2024,,,iPhone 15,,,,"A page (numbered 63) from a framework agreement or regulation document discussing handling of personal data (Section VI), Information and Communication Technology (Section VII), forms of cooperation and local special agreements (Section VIII), and obligations of parties (Section IX), with references to Norwegian labor law, shop stewards, and central organizations.",public/images/primary/raw/iphone/IMG_2314 2.HEIC,
IMG_2315.HEIC,iphone,2024-09-26 08:09:02 +0000,2024,,,iPhone 15,Fagbevegelsen og EDB i prosessindustrien - SLUTRAPPORT,Y,,,public/images/primary/raw/iphone/IMG_2315.HEIC,
IMG_2316 2.HEIC,iphone,2024-09-26 08:09:06 +0000,2024,,,iPhone 15,Fagbevegelsen og EDB i prosessindustrien - SLUTRAPPORT,,,"A typed document with gray header and footer sections containing what appears to be organizational or administrative text, with the document mounted or displayed in an archival setting.",public/images/primary/raw/iphone/IMG_2316 2.HEIC,
IMG_2317.HEIC,iphone,2024-09-26 08:09:08 +0000,2024,,,iPhone 15,Fagbevegelsen og EDB i prosessindustrien - SLUTRAPPORT,,,"A Norwegian technical document cover page from Norsk Regnesentral (Norwegian Computing Center) in Oslo regarding data processing, planning and management, with a handbook for the department by Kristen Nygaard in collaboration with Olav Terje Bergø, Part 1 on data processing, systems and language.",public/images/primary/raw/iphone/IMG_2317.HEIC,
IMG_2318.HEIC,iphone,2024-09-26 08:09:12 +0000,2024,,,iPhone 15,G - L0001,Y,,,public/images/primary/raw/iphone/IMG_2318.HEIC,
IMG_2319 2.HEIC,iphone,2024-09-26 08:09:17 +0000,2024,,,iPhone 15,G - L0001,Y,,,public/images/primary/raw/iphone/IMG_2319 2.HEIC,
IMG_2345.HEIC,iphone,2024-10-01 13:29:52 +0000,2024,,,iPhone 15,G - L0001,,,"Norwegian Computing Center (NREG) technical manual on data handling, planning and control, part 1, authored by Kristen Nygaard in collaboration with Olav Terje Bergo, covering data handling systems and language.",public/images/primary/raw/iphone/IMG_2345.HEIC,
IMG_2346.HEIC,iphone,2024-10-01 13:30:00 +0000,2024,,,iPhone 15,G - L0001,,,"Research report #1 from the Norwegian Computing Center (Norsk Regnesentral) in Oslo on planning, control and data processing, authored by Kristen Nygaard and Olav Terje Bergo, part of a research project from the Norwegian Labor and Metal Workers' Federation (Norsk Jern- og Metall-arbeiderforbunds forskningsprosjekt).",public/images/primary/raw/iphone/IMG_2346.HEIC,
IMG_2347.HEIC,iphone,2024-10-01 13:30:09 +0000,2024,,,iPhone 15,G - L0001,,,"Research report No. 2 from the Norwegian Computing Center (NCC) on planning, management and data processing, Part II on data machines, systems and language, by Kristen Nygaard in collaboration with Olav Terje Bergø, prepared for the Norwegian Electrical Workers' Union (Fagbevegelsen).",public/images/primary/raw/iphone/IMG_2347.HEIC,
IMG_2348.HEIC,iphone,2024-10-01 13:30:14 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 3,Y,,,public/images/primary/raw/iphone/IMG_2348.HEIC,
IMG_2349.HEIC,iphone,2024-10-01 13:30:18 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 4 FRA NORSK JERN- OG METALLARBEIDERFORBUNDS FORSKNINGSPROSJEKT,Y,,,public/images/primary/raw/iphone/IMG_2349.HEIC,
IMG_2350.HEIC,iphone,2024-10-01 13:30:22 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 5,Y,,,public/images/primary/raw/iphone/IMG_2350.HEIC,
IMG_2351.HEIC,iphone,2024-10-01 13:30:26 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 5,,,"Research report number 6 from the Norwegian Computing Center (Nnorvegian COMPUTING CENTER, OSLO 3) concerning a research project by Norsk Jern- og Metallarbeiderforbunds (Norwegian Iron and Metal Workers' Union), detailing new work tasks by Verkstedklubben ved A/S Nebb, Division Skøyen, with collaboration by Olav Terje Bergo and Kristen Nygaard.",public/images/primary/raw/iphone/IMG_2351.HEIC,
IMG_2352.HEIC,iphone,2024-10-01 13:30:31 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 5,,,"Research report number 7 from the Norwegian Computing Center (NCC) detailing a business policy handling program developed for Bedriftsklubbens ved A/S Hydraulik in Brattvåg, in collaboration with Olav Terje Børge and Kristen Nygaard.",public/images/primary/raw/iphone/IMG_2352.HEIC,
IMG_2353.HEIC,iphone,2024-10-01 13:30:35 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,Y,,,public/images/primary/raw/iphone/IMG_2353.HEIC,
IMG_2354.HEIC,iphone,2024-10-01 13:31:16 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"A final report (slutrapport) on occupational health and safety (fagbevegelsen og EDB) in the processing industry, authored by Max Elden, Jostein Fjalestad, Morten Levin, Gunnar Myrrang, and Bente Rasmussen, published by the Institute for Industrial Environmental Research in Trondheim, featuring a black and white photograph of workers in an industrial setting.",public/images/primary/raw/iphone/IMG_2354.HEIC,
IMG_2355.HEIC,iphone,2024-10-01 13:31:19 +0000,2024,,,iPhone 15,,,,"Page 5 of a Norwegian research report or article discussing democratization as a goal for the project, with highlighted passages in pink concerning the introduction of new technology and NKIF's positions on EDB (electronic data processing) use in work democracy.",public/images/primary/raw/iphone/IMG_2355.HEIC,
IMG_2356.HEIC,iphone,2024-10-01 13:32:07 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,1971,"Academic text in Norwegian discussing research on technology and occupational groups (fagbevegelsen), referencing the NJMP project (Norwegian Iron and Metal Workers Project) established in 1971 and its technological developments in the metalworking industry.",public/images/primary/raw/iphone/IMG_2356.HEIC,
IMG_2357.HEIC,iphone,2024-10-01 13:32:10 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,1975,"Page 9 of a Norwegian academic or research document discussing NJ&MP-projektet and DEMOS-projektet, projects related to democratization of workplace planning and development, with references to Scandinavian organizational experiments from the 1970s.",public/images/primary/raw/iphone/IMG_2357.HEIC,
IMG_2360.HEIC,iphone,2024-10-01 13:35:05 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,1976,"Norwegian academic text (page 10) discussing two research projects: the 'NJ&MF-tradisjonen' project started by Handel og Kontor in 1976, and a section on 'Annen arbeidslivsforskning' covering labor life research from the 1960s in Norway, mentioning the NAF and Samarbeidsforskene organizations.",public/images/primary/raw/iphone/IMG_2360.HEIC,
IMG_2362.HEIC,iphone,2024-10-01 13:38:50 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 11 of a Norwegian academic or institutional document discussing strategic decisions, workplace democracy, and organizational frameworks for labor participation, with references to socio-technical theory and cooperative work practices.",public/images/primary/raw/iphone/IMG_2362.HEIC,
IMG_2364.HEIC,iphone,2024-10-01 13:39:45 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 12 of a Norwegian document discussing NKIF-projektets forskningsstrategi (NKIF project's research strategy), with highlighted text in magenta discussing automation, democratization of work, and industrial policy implications, addressed to various organizations and stakeholders.",public/images/primary/raw/iphone/IMG_2364.HEIC,
IMG_2365.HEIC,iphone,2024-10-01 13:39:48 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 13 of a Norwegian report or document discussing organizational cooperation and research activities, with a highlighted pink section mentioning NKIF project goals related to EDB (electronic data processing) and industrial engagement, stamped by Arbeiderbevegelses Arkiv og Bibliotek.",public/images/primary/raw/iphone/IMG_2365.HEIC,
IMG_2366.HEIC,iphone,2024-10-01 13:39:53 +0000,2024,,,iPhone 15,,,,"A Norwegian research document (page 14) discussing methodological approaches and results from work projects (NKIF-projektet), including sections on participant-based research and research methodology in practice.",public/images/primary/raw/iphone/IMG_2366.HEIC,
IMG_2367.HEIC,iphone,2024-10-01 13:39:54 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 15 of a Norwegian research or project report discussing participant involvement and research methodology, mentioning Samarbeidsforskene LO/NAF (labor organization seminars) and describing implementation plans for work-related research across multiple organizations.",public/images/primary/raw/iphone/IMG_2367.HEIC,
IMG_2368.HEIC,iphone,2024-10-01 13:39:58 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 16 of a Norwegian-language document discussing project planning strategy, objectives, and the role of NKIF (Norwegian organization) in technological development and local resource coordination for industrial members.",public/images/primary/raw/iphone/IMG_2368.HEIC,
IMG_2369.HEIC,iphone,2024-10-01 13:39:59 +0000,2024,,,iPhone 15,,,,"Page 17 of a Norwegian research report describing the structure and local activities of a central project (hoofdprosjektet), including sections on local activities (bases, seminars), central-local activities (debates, courses), and central activities (project management, technology development, literature review).",public/images/primary/raw/iphone/IMG_2369.HEIC,
IMG_2370.HEIC,iphone,2024-10-01 13:40:03 +0000,2024,,,iPhone 15,,,,"Page 18 of a Norwegian research project report discussing NKIF (Norwegian research organization) and a project involving research teams, local businesses, and data technology implementation from 1977 onwards.",public/images/primary/raw/iphone/IMG_2370.HEIC,
IMG_2371.HEIC,iphone,2024-10-01 13:40:04 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"Page 19 of a Norwegian-language document discussing trust in strong businesses, interest from NKIF in relatively solid businesses with economic viability, and descriptions of three base groups (ASV-Sunndalsøra, Norsk Hydro-KarmØy, and Falconbridge) involved in metallurgical industry projects.",public/images/primary/raw/iphone/IMG_2371.HEIC,
IMG_2372.HEIC,iphone,2024-10-01 13:40:08 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,,"A page of Norwegian text discussing work organization with local groups, technological development, and establishment of a contact network (kontaktnettverk) for coordinating efforts between organizations and courses related to data processing and workplace development.",public/images/primary/raw/iphone/IMG_2372.HEIC,
IMG_2373.HEIC,iphone,2024-10-01 13:40:09 +0000,2024,,,iPhone 15,,,,"Page 21 of a Norwegian research document discussing NKIF (a research organization), their work on data problems, local handling of technological development projects, and planned literature studies on automation in the process industry.",public/images/primary/raw/iphone/IMG_2373.HEIC,
IMG_2374.HEIC,iphone,2024-10-01 13:40:12 +0000,2024,,,iPhone 15,,,,"Page 22 of a Norwegian research report discussing a main project from 1978-1980, with criteria for identifying research projects and notes on implementation, including handwritten annotations at the bottom of the page.",public/images/primary/raw/iphone/IMG_2374.HEIC,
IMG_2375.HEIC,iphone,2024-10-01 13:40:17 +0000,2024,,,iPhone 15,,,,"A chronological table (Hovedprosjektet - kronologi) from a Norwegian research project showing activities and seminars across 1978-1980, with various working groups (Lørals aktiviteter, Sepralt-Løralt, Sentrale aktiviteter) and their documentation types listed.",public/images/primary/raw/iphone/IMG_2375.HEIC,
